p1 | MaxLen - | Docket/Case No. [Yes] | topmostSubform[0].Page1[0].c1_7_[0]
p1 | MaxLen - | Yes [No] | topmostSubform[0].Page1[0].c1_7_[1]
p1 | MaxLen 8 | Date Filed | topmostSubform[0].Page1[0].p1_t37_7[0]
p1 | MaxLen 8 | Date Dismissed | topmostSubform[0].Page1[0].p1_t38_7[0]
p1 | MaxLen 8 | Date Discharged | topmostSubform[0].Page1[0].p1_t38_7[1]
p1 | MaxLen - | Petition No. | topmostSubform[0].Page1[0].p1_t39_7[0]
p1 | MaxLen - | Location Filed | topmostSubform[0].Page1[0].p1_t40_7[0]
p2 | MaxLen - | (If yes, answer the following) [Yes] | topmostSubform[0].page2[0].c1_8a_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_8a_[1]
p2 | MaxLen - | (If yes, answer the following) [Yes] | topmostSubform[0].page2[0].c1_8b_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_8b_[1]
p2 | MaxLen 8 | In the past 10 years, have you lived outside of the U.S for 6 months or longer | topmostSubform[0].page2[0].p2_t50_8b[0]
p2 | MaxLen 8 | (If yes, answer the following) | topmostSubform[0].page2[0].p2_t51_8b[0]
p2 | MaxLen - | (If yes, answer the following) [Yes] | topmostSubform[0].page2[0].c1_8_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_8_[1]
p2 | MaxLen - | Do you have dual citizenship | topmostSubform[0].page2[0].p2_t50_8[0]
p2 | MaxLen - | (If yes, provide your inmate number) [Yes] | topmostSubform[0].page2[0].c1_9a_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_9a_[1]
p2 | MaxLen - | Are you currently incarcerated | topmostSubform[0].page2[0].p2_t50_8[1]
p2 | MaxLen - | Are you the beneficiary of a trust, estate, or life insurance policy including those located in foreign countries or [Yes] | topmostSubform[0].page2[0].c1_9b_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_9b_[1]
p2 | MaxLen - | (If yes, answer the following) | topmostSubform[0].page2[0].p1_t44_9[0]
p2 | MaxLen 2 | EIN: | topmostSubform[0].page2[0].p1-t45_9[0]
p2 | MaxLen 7 | Yes | topmostSubform[0].page2[0].p1-t46_9[0]
p2 | MaxLen 12 | Anticipated amount to be received | topmostSubform[0].page2[0].#subform[3].p1-t48_9[0]
p2 | MaxLen - | Name of the trust, estate, or policy | topmostSubform[0].page2[0].p1-t47_9[0]
p2 | MaxLen - | When will the amount be received | topmostSubform[0].page2[0].p1-t49_9[0]
p2 | MaxLen - | When will the amount be received [Yes] | topmostSubform[0].page2[0].c1_9c_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_9c_[1]
p2 | MaxLen - | Are you a trustee, fiduciary, or contributor of a trust | topmostSubform[0].page2[0].p2_t00_9b[0]
p2 | MaxLen 2 | EIN: | topmostSubform[0].page2[0].p1-t02_9b[0]
p2 | MaxLen 7 | Do you have a safe deposit box (business or personal) including those located in foreign countries or jurisdictions | topmostSubform[0].page2[0].p1-t01_9b[0]
p2 | MaxLen - | Do you have a safe deposit box (business or personal) including those located in foreign countries or jurisdictions [Yes] | topmostSubform[0].page2[0].c1_10_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].c1_10_[1]
p2 | MaxLen 12 | Value | topmostSubform[0].page2[0].value[0].p1-t42_10[0]
p2 | MaxLen - | Location | topmostSubform[0].page2[0].p1_t41_10[0]
p2 | MaxLen - | Contents | topmostSubform[0].page2[0].p1-t43_10[0]
p2 | MaxLen - | Value [Yes] | topmostSubform[0].page2[0].#subform[0].c1_11_[0]
p2 | MaxLen - | Yes [No] | topmostSubform[0].page2[0].#subform[0].c1_11_[1]
p2 | MaxLen 12 | Value at Time of Transfer | topmostSubform[0].page2[0].#subform[0].#subform[1].p3_t2_11[0]
p2 | MaxLen - | List Asset(s) | topmostSubform[0].page2[0].#subform[0].p3_t1_11[0]
p2 | MaxLen 8 | Date Transferred | topmostSubform[0].page2[0].#subform[0].p3_t3_11[0]
p2 | MaxLen - | To Whom or Where was it Transferred | topmostSubform[0].page2[0].#subform[0].p3_t4_11[0]
p2 | MaxLen 12 | foreign countries or jurisdictions and add attachment(s) if additional space is needed to respond | topmostSubform[0].page2[0].p2-t1_11[0]
p2 | MaxLen 8 | As of | topmostSubform[0].page2[0].Table_Line13[0].Line12[0].AcctBal12[0].F02_001_11[0]
p2 | MaxLen 18 | Type of Account | topmostSubform[0].page2[0].Table_Line13[0].Line12a[0].Line12A[0]
p2 | MaxLen 86 | Financial Institution | topmostSubform[0].page2[0].Table_Line13[0].Line12a[0].p2-t2_12[0]
p2 | MaxLen 24 | Account Number | topmostSubform[0].page2[0].Table_Line13[0].Line12a[0].p2-t3_12[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line13[0].Line12a[0].p2-t4_12[0]
p2 | MaxLen 18 | Type of Account | topmostSubform[0].page2[0].Table_Line13[0].Line12b[0].Line12B[0]
p2 | MaxLen 86 | Financial Institution | topmostSubform[0].page2[0].Table_Line13[0].Line12b[0].p2-t5_12[0]
p2 | MaxLen 24 | Account Number | topmostSubform[0].page2[0].Table_Line13[0].Line12b[0].p2-t6_12[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line13[0].Line12b[0].p2-t7_12[0]
p2 | MaxLen 18 | Type of Account | topmostSubform[0].page2[0].Table_Line13[0].Line12b[1].Line12B[0]
p2 | MaxLen 86 | Financial Institution | topmostSubform[0].page2[0].Table_Line13[0].Line12b[1].p2-t5_12[0]
p2 | MaxLen 24 | Account Number | topmostSubform[0].page2[0].Table_Line13[0].Line12b[1].p2-t6_12[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line13[0].Line12b[1].p2-t7_12[0]
p2 | MaxLen 18 | Type of Account | topmostSubform[0].page2[0].Table_Line13[0].Line12b[2].Line12B[0]
p2 | MaxLen 86 | Financial Institution | topmostSubform[0].page2[0].Table_Line13[0].Line12b[2].p2-t5_12[0]
p2 | MaxLen 24 | Account Number | topmostSubform[0].page2[0].Table_Line13[0].Line12b[2].p2-t6_12[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line13[0].Line12b[2].p2-t7_12[0]
p2 | MaxLen 14 | As of | topmostSubform[0].page2[0].p2-t8_12c[0]
p2 | MaxLen 8 | As of | topmostSubform[0].page2[0].Table_Line14[0].HeaderRow[0].LoanBal[0].p2-t9_13[0]
p2 | MaxLen 54 | or Financial Interest | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].Line13A[0]
p2 | MaxLen - | (Street, City, State, ZIP code and Country) | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].#subform[0].p2-t61_13a[0]
p2 | MaxLen 12 | Current Value | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].p2_t13_13a[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].p2_t12_13a[0]
p2 | MaxLen 12 | Value minus Loan | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].p2_t11_13a[0]
p2 | MaxLen 12 | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13a[0].#subform[0].p2_t10_13a[0]
p2 | MaxLen 54 | or Financial Interest | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].Line13B[0]
p2 | MaxLen - | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].#subform[0].p2-t62_13b[0]
p2 | MaxLen 12 | Current Value | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].p2_t17_13b[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].p2_t16_13b[0]
p2 | MaxLen 12 | Value minus Loan | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].p2_t15_13b[0]
p2 | MaxLen 12 | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[0].#subform[0].p2_t14_13b[0]
p2 | MaxLen 54 | or Financial Interest | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].Line13B[0]
p2 | MaxLen - | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].#subform[0].p2-t62_13b[0]
p2 | MaxLen 12 | Current Value | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].p2_t17_13b[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].p2_t16_13b[0]
p2 | MaxLen 12 | Value minus Loan | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].p2_t15_13b[0]
p2 | MaxLen 12 | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[1].#subform[0].p2_t14_13b[0]
p2 | MaxLen 54 | or Financial Interest | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].Line13B[0]
p2 | MaxLen - | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].#subform[0].p2-t62_13b[0]
p2 | MaxLen 12 | Current Value | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].p2_t17_13b[0]
p2 | MaxLen 12 | As of | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].p2_t16_13b[0]
p2 | MaxLen 12 | Value minus Loan | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].p2_t15_13b[0]
p2 | MaxLen 12 | Phone | topmostSubform[0].page2[0].Table_Line14[0].Row13b[2].#subform[0].p2_t14_13b[0]
p3 | MaxLen - | List the name(s) of individuals who have access to the private key(s) and/or digital wallets | topmostSubform[0].Page2[0].ListAccessPrivateKeys[0]
p3 | MaxLen 8 | dollars as of | topmostSubform[0].Page2[0].Table_Line14de[0].HeaderRow[0].assetAmount[0].mmddyyyy[0]
p3 | MaxLen - | Type of Digital Asset | topmostSubform[0].Page2[0].Table_Line14de[0].Row13a[0].Line13A[0]
p3 | MaxLen - | (DCE) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13a[0].#field[1]
p3 | MaxLen - | DCE | topmostSubform[0].Page2[0].Table_Line14de[0].Row13a[0].p2_t13_13a[0]
p3 | MaxLen - | External Hardware storage) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13a[0].p2_t12_13a[0]
p3 | MaxLen - | $38,000.00 USD) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13a[0].p2_t11_13a[0]
p3 | MaxLen - | Type of Digital Asset | topmostSubform[0].Page2[0].Table_Line14de[0].Row13b[0].Line13B[0]
p3 | MaxLen - | (DCE) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13b[0].#field[1]
p3 | MaxLen - | DCE | topmostSubform[0].Page2[0].Table_Line14de[0].Row13b[0].p2_t17_13b[0]
p3 | MaxLen - | External Hardware storage) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13b[0].p2_t16_13b[0]
p3 | MaxLen - | $38,000.00 USD) | topmostSubform[0].Page2[0].Table_Line14de[0].Row13b[0].p2_t15_13b[0]
